app,metric,value
hda-stable,fps_mean,30.00
hda-stable,fps_p50,30.03
hda-stable,fps_p95,30.86
hda-stable,fps_min,14.81
hda-stable,fps_max,31.06
hda-stable,heap_used_mb_t0,3
hda-stable,heap_used_mb_steady,2.94
hda-stable,heap_used_mb_final,0.96
hda-stable,dom_nodes_t0,278
hda-stable,dom_nodes_final,278
hda-stable,layout_count,239
hda-stable,style_recalc_count,1435
hda-stable,script_duration_ms,5894.49
hda-stable,task_duration_ms,13075.85
hda-stable,layout_duration_ms,543.21
spa,fps_mean,30.01
spa,fps_p50,30.03
spa,fps_p95,30.86
spa,fps_min,28.99
spa,fps_max,31.06
spa,heap_used_mb_t0,2.49
spa,heap_used_mb_steady,1.94
spa,heap_used_mb_final,1.82
spa,dom_nodes_t0,275
spa,dom_nodes_final,275
spa,layout_count,240
spa,style_recalc_count,1439
spa,script_duration_ms,401.64
spa,task_duration_ms,5424.5
spa,layout_duration_ms,519.43
hda-beta,fps_mean,30.00
hda-beta,fps_p50,30.03
hda-beta,fps_p95,30.86
hda-beta,fps_min,15.08
hda-beta,fps_max,31.06
hda-beta,heap_used_mb_t0,1.32
hda-beta,heap_used_mb_steady,1.44
hda-beta,heap_used_mb_final,2.27
hda-beta,dom_nodes_t0,278
hda-beta,dom_nodes_final,278
hda-beta,layout_count,240
hda-beta,style_recalc_count,1436
hda-beta,script_duration_ms,3748.63
hda-beta,task_duration_ms,14338.1
hda-beta,layout_duration_ms,544.1
hda-sse,fps_mean,30.00
hda-sse,fps_p50,30.03
hda-sse,fps_p95,30.86
hda-sse,fps_min,14.81
hda-sse,fps_max,31.06
hda-sse,heap_used_mb_t0,1.33
hda-sse,heap_used_mb_steady,1.52
hda-sse,heap_used_mb_final,1.4
hda-sse,dom_nodes_t0,278
hda-sse,dom_nodes_final,278
hda-sse,layout_count,239
hda-sse,style_recalc_count,1438
hda-sse,script_duration_ms,40.51
hda-sse,task_duration_ms,13979.94
hda-sse,layout_duration_ms,537.25
